ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,volume,amount
00981.HK,2025-07-02,45.15,45.4,43.15,43.55,44.7,-1.15,-2.57,89397299.0,3924170324.6
00981.HK,2025-07-03,43.65,44.65,43.15,43.3,43.55,-0.25,-0.57,78532958.0,3435376577.15
00981.HK,2025-07-04,43.1,44.8,41.5,43.95,43.3,0.65,1.5,124680391.0,5392124722.95
00981.HK,2025-07-07,44.3,45.0,43.7,44.3,43.95,0.35,0.8,58889473.0,2606606893.0
00981.HK,2025-07-08,44.65,45.9,44.45,45.65,44.3,1.35,3.05,68833165.0,3113078998.8
00981.HK,2025-07-09,45.65,45.7,44.4,44.65,45.65,-1.0,-2.19,48918407.0,2196646182.75
00981.HK,2025-07-10,44.75,45.4,44.5,44.95,44.65,0.3,0.67,39808214.0,1792304264.65
00981.HK,2025-07-11,44.75,46.85,44.75,45.95,44.95,1.0,2.22,83344868.0,3852759756.85
00981.HK,2025-07-14,46.2,47.0,45.7,46.45,45.95,0.5,1.09,54314874.0,2528363662.8
00981.HK,2025-07-15,46.4,47.1,44.9,45.6,46.45,-0.85,-1.83,92558441.0,4218269477.1
00981.HK,2025-07-16,45.35,46.45,44.55,45.4,45.6,-0.2,-0.44,58314723.0,2664586789.55
00981.HK,2025-07-17,45.6,46.55,45.15,46.3,45.4,0.9,1.98,56836441.0,2623705430.2
00981.HK,2025-07-18,46.7,47.35,45.95,47.1,46.3,0.8,1.73,63008978.0,2951468492.45
00981.HK,2025-07-21,47.45,48.0,46.6,47.25,47.1,0.15,0.32,57525367.0,2723930171.65
00981.HK,2025-07-22,47.5,49.2,47.1,48.55,47.25,1.3,2.75,101030803.0,4899480384.2
00981.HK,2025-07-23,49.25,49.3,47.9,48.75,48.55,0.2,0.41,72702914.0,3538326636.1
00981.HK,2025-07-24,48.95,51.6,48.75,50.25,48.75,1.5,3.08,139872459.0,7048749847.65
00981.HK,2025-07-25,50.4,53.8,50.2,52.75,50.25,2.5,4.98,145837338.0,7590908385.6
00981.HK,2025-07-28,53.55,53.55,52.0,53.1,52.75,0.35,0.66,81890865.0,4324208964.55
00981.HK,2025-07-29,53.1,53.45,51.55,53.35,53.1,0.25,0.47,67956748.0,3570411345.5
00981.HK,2025-07-30,52.65,52.65,50.0,50.2,53.35,-3.15,-5.9,118943656.0,6064938553.25
00981.HK,2025-07-31,50.0,52.95,49.1,51.1,50.2,0.9,1.79,104907136.0,5389700442.85
00981.HK,2025-08-01,51.1,52.3,49.9,50.05,51.1,-1.05,-2.05,65840725.0,3339652390.1
00981.HK,2025-08-04,49.8,51.75,49.8,51.5,50.05,1.45,2.9,53873828.0,2762951740.9
00981.HK,2025-08-05,51.6,52.7,50.5,51.0,51.5,-0.5,-0.97,69595649.0,3598089024.1
00981.HK,2025-08-06,51.25,52.95,50.5,52.6,51.0,1.6,3.14,72245201.0,3752208341.88
00981.HK,2025-08-07,52.55,54.7,51.85,53.0,52.6,0.4,0.76,90416223.0,4817905731.5
00981.HK,2025-08-08,51.0,51.3,48.5,48.66,53.0,-4.34,-8.19,218640904.0,10862437945.42
00981.HK,2025-08-11,49.04,49.24,47.14,48.7,48.66,0.04,0.08,109296429.0,5252424959.88
00981.HK,2025-08-12,48.86,51.55,48.2,51.15,48.7,2.45,5.03,112240544.0,5643214205.38
00981.HK,2025-08-13,51.25,52.1,50.95,52.05,51.15,0.9,1.76,83959625.0,4338376317.8
00981.HK,2025-08-14,52.5,54.4,51.85,52.0,52.05,-0.05,-0.1,115170190.0,6115399028.75
00981.HK,2025-08-15,51.75,53.2,51.45,52.75,52.0,0.75,1.44,80095392.0,4198116124.46
00981.HK,2025-08-18,53.5,53.8,51.75,51.8,52.75,-0.95,-1.8,80816682.0,4240548938.25
00981.HK,2025-08-19,51.85,52.15,49.66,50.05,51.8,-1.75,-3.38,77786478.0,3938378220.38
00981.HK,2025-08-20,49.5,52.55,49.4,51.75,50.05,1.7,3.4,106235006.0,5415142819.44
00981.HK,2025-08-21,51.85,53.05,50.9,51.7,51.75,-0.05,-0.1,67561130.0,3500967477.95
00981.HK,2025-08-22,52.85,57.5,52.7,56.9,51.7,5.2,10.06,296455102.0,16408960102.1
00981.HK,2025-08-25,58.45,61.75,56.0,57.8,56.9,0.9,1.58,235311070.0,13797807969.8
00981.HK,2025-08-26,57.0,57.45,55.4,56.2,57.8,-1.6,-2.77,104068446.0,5861733754.95
00981.HK,2025-08-27,57.0,60.3,55.75,56.25,56.2,0.05,0.09,221959736.0,12950278965.15
00981.HK,2025-08-28,57.0,62.8,56.65,62.3,56.25,6.05,10.76,328184511.0,19836412050.45
00981.HK,2025-08-29,62.25,62.25,59.9,60.7,62.3,-1.6,-2.57,138500782.0,8421519659.7
00981.HK,2025-09-01,64.75,65.65,60.55,63.65,60.7,2.95,4.86,188898351.0,11900231386.65
00981.HK,2025-09-02,63.8,64.1,58.75,60.7,63.65,-2.95,-4.63,189292322.0,11551325833.3
00981.HK,2025-09-03,61.85,62.1,59.35,60.0,60.7,-0.7,-1.15,81425532.0,4921642177.1
00981.HK,2025-09-04,60.2,60.8,55.35,56.0,60.0,-4.0,-6.67,187841288.0,10686938015.15
00981.HK,2025-09-05,56.8,60.2,56.3,58.7,56.0,2.7,4.82,158505131.0,9247560551.85
00981.HK,2025-09-08,58.7,58.8,56.65,58.15,58.7,-0.55,-0.94,97043391.0,5587725876.4
00981.HK,2025-09-09,58.0,60.65,56.0,58.25,58.15,0.1,0.17,120101934.0,7076891614.5
00981.HK,2025-09-10,58.7,60.95,58.7,60.35,58.25,2.1,3.61,90346929.0,5418157278.8
00981.HK,2025-09-11,60.1,64.45,59.4,63.35,60.35,3.0,4.97,134823644.0,8470709376.15
00981.HK,2025-09-12,64.2,65.0,62.1,62.75,63.35,-0.6,-0.95,103139295.0,6551506993.9
00981.HK,2025-09-15,63.65,64.5,62.55,63.0,62.75,0.25,0.4,64804768.0,4105909630.4
00981.HK,2025-09-16,63.1,64.2,61.95,63.2,63.0,0.2,0.32,76132007.0,4815565275.15
00981.HK,2025-09-17,64.3,67.8,63.7,67.7,63.2,4.5,7.12,169646110.0,11267083951.2
00981.HK,2025-09-18,68.55,73.3,67.7,69.5,67.7,1.8,2.66,243974812.0,17235177264.5
00981.HK,2025-09-19,71.1,72.5,68.65,69.75,69.5,0.25,0.36,151250095.0,10678918079.35
00981.HK,2025-09-22,69.75,74.05,69.05,73.35,69.75,3.6,5.16,136569630.0,9878453943.5
00981.HK,2025-09-23,74.05,74.7,70.25,72.6,73.35,-0.75,-1.02,135366490.0,9766187429.8
00981.HK,2025-09-24,72.8,78.25,72.15,76.75,72.6,4.15,5.72,150321829.0,11402208955.7
00981.HK,2025-09-25,77.2,78.8,75.2,76.8,76.75,0.05,0.07,114883313.0,8861911614.95
00981.HK,2025-09-26,75.9,77.8,72.2,72.95,76.8,-3.85,-5.01,141599380.0,10641068508.85
00981.HK,2025-09-29,74.0,76.5,73.1,76.5,72.95,3.55,4.87,106533474.0,7973807065.65
00981.HK,2025-09-30,77.5,79.95,77.5,79.55,76.5,3.05,3.99,115419312.0,9114340568.6
00981.HK,2025-10-02,80.15,90.35,80.1,89.65,79.55,10.1,12.7,67389636.0,5840577417.9
00981.HK,2025-10-03,90.35,91.35,88.65,90.9,89.65,1.25,1.39,34462352.0,3102587937.5
00981.HK,2025-10-06,90.5,92.8,87.4,91.05,90.9,0.15,0.17,43900768.0,3953173088.1
00981.HK,2025-10-08,91.0,91.5,87.7,89.5,91.05,-1.55,-1.7,38845844.0,3468659227.95
00981.HK,2025-10-09,88.4,93.5,82.5,83.5,89.5,-6.0,-6.7,303809230.0,26499269878.05
00981.HK,2025-10-10,81.95,82.65,76.65,77.55,83.5,-5.95,-7.13,203174461.0,16039839476.8
00981.HK,2025-10-13,75.5,81.4,75.5,80.15,77.55,2.6,3.35,265993481.0,21053000125.19
00981.HK,2025-10-14,81.8,81.85,72.1,73.35,80.15,-6.8,-8.48,210423170.0,15877622091.25
00981.HK,2025-10-15,74.2,76.15,71.5,76.0,73.35,2.65,3.61,135742186.0,10055792360.55
00981.HK,2025-10-16,76.0,76.2,72.6,73.9,76.0,-2.1,-2.76,89385266.0,6646206862.36
00981.HK,2025-10-17,73.65,74.1,68.35,69.1,73.9,-4.8,-6.5,166659866.0,11670648306.45
00981.HK,2025-10-20,71.6,72.75,70.2,71.8,69.1,2.7,3.91,85998261.0,6154771202.8
00981.HK,2025-10-21,73.3,76.4,72.85,74.05,71.8,2.25,3.13,121886166.0,9150416914.2
00981.HK,2025-10-22,73.85,75.9,72.5,74.85,74.05,0.8,1.08,82298535.0,6133300353.35
00981.HK,2025-10-23,74.5,75.0,71.85,74.05,74.85,-0.8,-1.07,91305190.0,6709750973.75
00981.HK,2025-10-24,75.7,80.05,75.7,80.0,74.05,5.95,8.04,154628465.0,12097320317.99
00981.HK,2025-10-27,82.95,83.8,80.8,82.8,80.0,2.8,3.5,143794946.0,11878770764.15
00981.HK,2025-10-28,82.8,85.5,80.05,80.1,82.8,-2.7,-3.26,124471245.0,10274836310.8
00981.HK,2025-10-30,81.95,82.4,77.3,79.2,80.1,-0.9,-1.12,141883664.0,11245295756.5
00981.HK,2025-10-31,79.2,79.2,74.6,75.0,79.2,-4.2,-5.3,108145564.0,8204539498.7
00981.HK,2025-11-03,74.2,75.2,71.3,72.85,75.0,-2.15,-2.87,95882523.0,6944375404.3
00981.HK,2025-11-04,73.6,75.45,71.65,71.85,72.85,-1.0,-1.37,74920975.0,5499102985.7
00981.HK,2025-11-05,70.0,72.35,69.35,71.7,71.85,-0.15,-0.21,76003489.0,5361959810.8
00981.HK,2025-11-06,73.55,77.75,72.85,76.95,71.7,5.25,7.32,118576840.0,8930186892.95
00981.HK,2025-11-07,75.75,77.95,74.7,75.45,76.95,-1.5,-1.95,58051968.0,4413125308.8
00981.HK,2025-11-10,76.0,76.7,72.5,74.7,75.45,-0.75,-0.99,74373722.0,5495250755.4
00981.HK,2025-11-11,75.45,75.6,71.55,72.65,74.7,-2.05,-2.74,70851474.0,5177861386.25
00981.HK,2025-11-12,72.5,73.55,70.7,73.25,72.65,0.6,0.83,66485006.0,4797348967.25
00981.HK,2025-11-13,72.85,75.6,71.7,75.6,73.25,2.35,3.21,88521178.0,6548446640.05
00981.HK,2025-11-14,74.25,77.25,73.2,73.5,75.6,-2.1,-2.78,93053916.0,6999751274.55
00981.HK,2025-11-17,73.8,75.65,72.8,72.95,73.5,-0.55,-0.75,60837818.0,4507146855.0
00981.HK,2025-11-18,72.65,75.65,72.2,74.0,72.95,1.05,1.44,69119836.0,5140533578.4
00981.HK,2025-11-19,74.6,74.75,72.05,73.0,74.0,-1.0,-1.35,49252284.0,3600236181.05
00981.HK,2025-11-20,74.6,75.25,72.3,73.5,73.0,0.5,0.68,59009341.0,4345727602.85
00981.HK,2025-11-21,71.1,71.95,68.6,68.8,73.5,-4.7,-6.39,107859632.0,7538430313.25
00981.HK,2025-11-24,69.05,69.55,63.7,68.05,68.8,-0.75,-1.09,146771590.0,9721540241.04
00981.HK,2025-11-25,68.9,70.25,66.9,67.95,68.05,-0.1,-0.15,77251132.0,5306909261.15
00981.HK,2025-11-26,67.8,69.95,66.9,68.85,67.95,0.9,1.32,48414677.0,3324895741.75
00981.HK,2025-11-27,69.15,71.8,68.15,68.35,68.85,-0.5,-0.73,67041842.0,4692901086.65
00981.HK,2025-11-28,69.6,69.6,67.9,68.8,68.35,0.45,0.66,34635482.0,2380158686.0
00981.HK,2025-12-01,68.9,69.95,67.85,69.45,68.8,0.65,0.94,36618423.0,2532143772.95
00981.HK,2025-12-02,69.35,69.65,68.05,68.65,69.45,-0.8,-1.15,23942332.0,1643697393.15
00981.HK,2025-12-03,68.15,69.25,66.85,67.2,68.65,-1.45,-2.11,35626389.0,2414488068.4
00981.HK,2025-12-04,67.3,70.25,66.55,69.8,67.2,2.6,3.87,50376074.0,3464806371.05
00981.HK,2025-12-05,69.75,70.9,68.55,69.75,69.8,-0.05,-0.07,45551129.0,3185007812.75
00981.HK,2025-12-08,70.2,72.9,70.15,71.8,69.75,2.05,2.94,69233641.0,4987910867.7
00981.HK,2025-12-09,70.6,71.0,68.45,68.85,71.8,-2.95,-4.11,66229434.0,4607931833.35
00981.HK,2025-12-10,69.3,69.35,67.2,68.7,68.85,-0.15,-0.22,44357583.0,3008830804.2
00981.HK,2025-12-11,69.0,69.25,66.55,67.15,68.7,-1.55,-2.26,49462751.0,3336579001.1
00981.HK,2025-12-12,67.6,68.65,65.35,67.7,67.15,0.55,0.82,59855565.0,4013006713.3
00981.HK,2025-12-15,68.0,68.0,64.45,64.7,67.7,-3.0,-4.43,67089126.0,4402278480.6
00981.HK,2025-12-16,64.5,65.15,62.0,63.45,64.7,-1.25,-1.93,64784997.0,4081880316.15
00981.HK,2025-12-17,63.05,65.2,63.05,64.75,63.45,1.3,2.05,40298935.0,2593098164.65
00981.HK,2025-12-18,64.0,65.6,63.65,64.7,64.75,-0.05,-0.08,39415584.0,2550990720.15
00981.HK,2025-12-19,65.45,66.15,64.8,65.05,64.7,0.35,0.54,39163474.0,2561376268.1
